Unnamed: 0,_id,name
11459,11459,"signal recognition particle, endoplasmic reticulum targeting"
11469,11469,Breast abscess
11478,11478,intraciliary retrograde transport
11494,11494,regulation of cellular amine metabolic process
11505,11505,oligosaccharide biosynthetic process
11508,11508,Enlargement abdomen
11533,11533,nuclear transcriptional repressor complex
11571,11571,endocardial cushion formation
11582,11582,EDARADD
11585,11585,fibrillar center
11603,11603,regulation of heart induction
11614,11614,Arthralgia
11636,11636,atrioventricular valve morphogenesis
11662,11662,metanephric glomerular epithelial cell development
11667,11667,ARC19
11669,11669,Vulvovaginal mycotic infection
11670,11670,JARID2-AS1
11671,11671,sugar mediated signaling pathway
11673,11673,regulation of arginine metabolic process
11677,11677,pericellular basket
11697,11697,cytosolic part
11703,11703,ZNF559-ZNF177
11704,11704,TP53 Regulates Transcription of DNA Repair Genes
11716,11716,Carcinogenicity
11719,11719,ARMCX6
11731,11731,cochlear nucleus development
11769,11769,Urinary protein increased
11778,11778,Pituitary infarction
11780,11780,negative regulation of cell proliferation involved in heart morphogenesis
11794,11794,cardiac conduction
11813,11813,sarcoma
11867,11867,glomerular mesangial cell development
11883,11883,positive regulation of cellular component biogenesis
11914,11914,Carcinoma breast
11935,11935,Decompensation cardiac
11953,11953,QARS1
11969,11969,modulation by host of viral molecular function
12011,12011,Carmustine
12031,12031,SCARNA27
12037,12037,Rifamycins
12058,12058,Learning Disorders
12069,12069,neuromuscular junction
